origin_id,destination,total_cost,width
74,288,51.8984449,9
76,111,147.3414765,4
76,128,47.2815121,4
77,78,56.9382459,5
77,242,60.6525964,5
77,341,83.8120303,5
77,355,19.1422707,8
78,97,123.980286,4
78,341,26.8737845,5
79,80,55.1072657,6
79,184,85.2973433,6
79,278,69.8927962,6
80,106,45.5669281,6
80,210,52.3531217,6
80,432,66.0938796,4
81,134,107.4920984,5
81,155,24.3388229,5
81,390,26.5324367,5
82,83,40.6229325,5
82,180,114.7404664,5
82,327,99.535923,4
83,290,309.4894637,5
84,85,18.7914444,12
84,264,31.7479549,3
84,346,20.77979,8
85,108,49.995803,6
86,158,136.9216862,4
86,265,344.0331132,4
86,294,288.6319168,4
87,88,125.1730175,4
87,397,76.7413856,4
88,301,3.4694312,4
88,362,2.4239305,4
88,365,42.9371001,10
89,90,46.8206055,10
89,152,200.373614,10
89,283,255.959882,10
90,93,34.4754005,10
90,107,7.4424376,10
91,92,17.6044223,6
91,232,12.2035545,6
91,333,14.9971436,6
92,232,23.1998513,6
92,333,22.785635,6
93,94,144.6175338,10
93,223,7.0874759,10
94,343,123.2206022,10
95,96,7.3053864,4
95,235,39.3645352,4
95,272,101.1968378,4
96,366,86.9862896,4
96,428,85.2829222,4
97,100,44.4791768,7
97,293,17.1179447,4
98,99,22.374026,4
98,233,75.0846923,6
100,216,204.6319094,7
100,225,114.3865703,7
100,293,61.5971216,7
100,341,52.6273247,7
102,126,683.1391792,10
102,170,6.3432832,4
102,238,40.0151564,10
103,104,6.5788374,3
103,347,57.2072586,3
103,407,148.2614905,4
104,220,102.306381,3
104,250,67.8273688,3
104,407,154.8403279,4
105,175,56.1142213,7
105,295,64.8554757,7
105,332,62.3522093,7
106,107,100.8491473,6
106,432,111.6608076,6
107,340,6.1467739,6
108,269,7.0259753,6
108,307,40.6605846,6
109,215,94.1326254,5
109,260,14.3689583,3
109,285,111.5610353,2
110,195,28.3023616,3
111,335,130.7657729,6
112,113,52.424785,7
112,116,71.6293946,6
112,202,192.3111418,5
112,354,223.090956,7
113,116,118.8632716,6
113,422,18.6541467,7
