Node,x,y,Evacuees
405,98.98519434,18.78789199,35
406,98.98513476,18.78766078,40
407,98.98372909,18.79395076,154
408,98.9869571,18.78329039,42
409,98.99348824,18.78678087,19
410,98.99196067,18.78999647,45
411,98.99222059,18.78914519,83
412,98.97786564,18.78890178,3
413,98.99314237,18.78229567,27
414,98.99343759,18.79155662,12
415,98.9904978,18.78364825,28
416,98.97909972,18.79050195,184
417,98.98573086,18.79535302,67
418,98.98549243,18.78833868,59
419,98.98632286,18.7882789,93
420,98.98560677,18.79148658,87
421,98.97833119,18.79054349,145
422,98.9818837,18.7937568,141
423,98.9813565,18.78291399,35
424,98.99320256,18.79676837,368
425,98.99373936,18.79172598,11
426,98.97922087,18.78133027,107
427,98.98781818,18.78111667,12
428,98.98632579,18.7825204,30
429,98.99266378,18.78992772,18
430,98.99366506,18.79028287,14
431,98.99374976,18.78760908,14
432,98.99133488,18.78474898,37
